host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,90.00%,100.00%,f,t,Entire serviced apartment,Entire home/apt,3,330,3,1125,4.8,4.95,4.84,4.87,4.98,4.53,4.73,f,0.99
within an hour,93.00%,100.00%,f,t,Entire condo,Entire home/apt,4,1490,1,1125,4.42,4.6,4.48,4.6,4.51,4.88,4.49,t,1.49
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,11,2643,2,1125,4.83,4.91,4.77,4.94,4.93,4.98,4.76,t,2.49
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,1,246,7,1125,,,,,,,,t,
a few days or more,30.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,1206,2,150,4,4.33,5,5,5,5,4.33,f,0.05
within an hour,100.00%,100.00%,f,t,Holiday park,Entire home/apt,6,999,1,1125,4.8,4.8,5,4.8,5,4.8,5,t,0.09
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,2,1271,7,1125,5,5,5,4.92,5,5,4.92,f,0.22
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,2,300,1,30,,,,,,,,t,
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,7,1893,2,32,4.61,4.76,4.77,4.94,4.88,4.84,4.71,f,2.53
a few days or more,0.00%,N/A,f,t,Entire home,Entire home/apt,10,2000,1,1125,,,,,,,,f,
a few days or more,40.00%,20.00%,f,f,Private room in rental unit,Private room,2,323,1,15,4.9,4.92,4.9,4.95,4.87,4.98,4.89,f,1.1
N/A,N/A,N/A,f,t,Entire condo,Entire home/apt,6,1634,3,42,5,5,5,5,5,5,5,f,0.04
within a few hours,100.00%,71.00%,f,t,Private room in condo,Private room,2,386,3,15,4.58,4.71,4.94,4.84,4.71,4.94,4.81,f,0.6
within an hour,100.00%,74.00%,f,t,Entire rental unit,Entire home/apt,2,700,14,1125,2,2,4,2,4,5,2,f,0.08
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,7,4703,1,30,4.93,4.97,4.9,4.97,4.95,5,4.86,f,2.11
within an hour,100.00%,74.00%,f,t,Entire rental unit,Entire home/apt,2,500,15,1125,4.31,4.15,3.92,4.62,4.38,4.69,4.15,t,0.24
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,951,2,90,4.78,4.92,4.92,4.84,4.92,4.94,4.68,f,0.91
N/A,N/A,N/A,f,f,Entire condo,Entire home/apt,4,1500,4,1125,4.51,4.77,4.6,4.81,4.95,4.81,4.72,t,0.85
N/A,N/A,100.00%,t,t,Entire loft,Entire home/apt,3,580,1,1125,4.91,4.92,4.88,4.98,4.91,4.92,4.87,t,1.78
within an hour,100.00%,94.00%,t,t,Entire serviced apartment,Entire home/apt,2,699,14,40,4.33,4.67,4.33,5,5,4.67,4,f,0.07
within an hour,100.00%,83.00%,t,t,Private room in home,Private room,1,250,1,90,4.83,4.87,4.83,5,4.91,5,4.96,f,0.41
within an hour,100.00%,96.00%,t,t,Entire condo,Entire home/apt,2,789,3,1125,4.69,4.77,4.92,4.69,4.77,4.69,4.62,f,0.24
N/A,N/A,0.00%,f,f,Entire loft,Entire home/apt,2,3000,1,1125,,,,,,,,f,
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,7,960,1,30,4.74,4.77,4.67,4.84,4.79,4.81,4.72,f,3.46
within an hour,100.00%,96.00%,t,t,Entire rental unit,Entire home/apt,3,1067,3,1125,4.81,4.74,4.74,4.81,4.93,4.89,4.67,f,0.69
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,4,1727,3,1125,4.92,4.91,4.8,4.98,4.93,4.99,4.88,t,1.99
